reviewer_id,review_role,review_content,seller_code,seller_name
광안동물개,구매자,엄청 친절하게 알려주시고 무엇보다 포장을 너무 잘 해주셔서 안전하게 물건 받아서 너무 기분이 좋았습니다!,1032123,짜우와우
Maxwell113,구매자,신속하게 물품을 보내주셨고 상태도 괜찮은 물품이왔네요 포장도 꼼꼼하게 해주셨어요 감사합니다.,1032123,짜우와우
dl윤석,구매자,빨리빨리 보내주시고 친절하셔요,1032123,짜우와우
아들둘둔아빠,구매자,좋은 제품 잘 쓰겠습니다.,1032123,짜우와우
헨리임,구매자,친절과배려가 좋습니다. 상품 상태도 좋구 무엇보다 포장 상태도 굿입니다.,1032123,짜우와우
오드아이님,구매자,감사합니다 잘 쓰겠습니다,1032123,짜우와우
얼리어댑터77,구매자,빠른배송에 꼼꼼한 포장 감사드립니다~,1032123,짜우와우
중고나라#10533308,구매자,"포장 엄청 꼼꼼하게 해주시고, 고가 제품이지만 거래할 때 믿음이 갔어요. 고맙습니다.",1032123,짜우와우
우띄,구매자,믿을만한 분 같아요,1032842,혈계
중고나라#9296332,구매자,오래전에 올리셨던 글인데 혹시 몰라서 메세지 보내드렸는데 아직 판매하신더고 해서 저렴하게 좋은상품 잘 거래 했습니다 감사합니다!,1034055,가람아람아빠
중고나라#7421610,구매자,포장을 너무 꼼꼼하게 해주셔서 안전하게 잘 받았어요! 너무 감사합니다^^ 택배도 아주 빨리 보내주셔서 예상보다 더 빨리 활용할 수 있게 되었어요~~좋은상품 저렴하게 판매해 주셔서 정말 감사해요!^^,1034055,가람아람아빠
중고나라#10567325,구매자,감사합니다.,1034463,드로니
중고나라#10421056,구매자,감사합니다 아이가 너무 좋아하네요 ^^,1034463,드로니
옐로로,구매자,제품 작동확인했습니다. 감사합니다~,1034463,드로니
습관적,구매자,잘쓰세요 수고하세요,1034884,한철이
doggg,구매자,안전하고 빠르게 배송해주셨습니다. 감사합니다,1034884,한철이
simminsung,구매자,그래픽에서 소리가...ㅠ 이어폰끼면 잘안들려서 다행이에요 배송 빨랐고 만족합니다 판매자분 친절하세요! 좋은물건 감사합니다,1034884,한철이
깜도리이,구매자,감사합니당 잘받았어욤~^-^ 잘쓸께용,1034884,한철이
하얀하야,구매자,너무친절하십니다,1035640,차승원눈썹
중고나라#7069823,구매자,좋은 제품을 싸게 주셔서 감사합니다. 오자마자 써봤는데 상태가 너무 좋아 만족! 대만족! 잘 쓰겠습니다~~,1035640,차승원눈썹
Palm2000,구매자,굿 좋은 거래 감사합니다,1035640,차승원눈썹
봉팔이네,구매자,좋은거래 감사합니다 ~~,1035640,차승원눈썹
수현수진아빠,구매자,감사합니다 잘쓸께요,1035640,차승원눈썹
사무엘28,구매자,택배가 늦게 왔는데 모든처리 친절하게 해주셔서 감사합니다 이분 좋은판매자입니다 이분이 올리는 물건사세요 믿을 수 있는분입니다.,1035640,차승원눈썹
삼딸빠빠,구매자,친절하시고 궁금한부분에 대해 잘 알려 주세요^^,1035640,차승원눈썹
히라시레저,구매자,정성스럽게 보내주신 좋은 제품 잘 받았습니다 감사합니다 꾸벅 ^^,1035640,차승원눈썹
광주112,구매자,질 맞아요,1035640,차승원눈썹
에어맨2,구매자,제품 잘 받았습니다. 꼼꼼한 포장. 빠른배송 고맙습니다.,1035640,차승원눈썹
중고나라#7056275,구매자,너무 친절하시고 직거래 안하면 절대 거래 안하는데 신뢰 팍팍 주시면서 실시간으로 문자까지 너무 신뢰 가득한 거래였습니다 절대 사기치실분 아니고 마음까지 따뜻한 거래였습니당,1036327,땡중쁑
0이든0,구매자,매너 거래 감사합니다,1039261,니이즌
마법같은하모니달비,구매자,저렴한 가격에 쿨거래 감사합니다,1039261,니이즌
킹콩콩킹,구매자,👍,1039261,니이즌
에센셜13,구매자,감사합니다👍🏻,1039276,가게142537
하늘연날,구매자,거래잘햇습니다^^ 보자기를..ㅠㅜㅐ,1039475,괘종시계1
DoyShop,구매자,감사합니다 :),1039475,괘종시계1
사실분만매너있게거래,구매자,집까지 택배로 잘받았습니다 제품도 싸게 구입했어요,1039475,괘종시계1
다나까앙,구매자,담날 받고싶었는데 빠르게 접수해주셔서 하루만에 받았어요! 좋은 상품 좋은 가격에 잘 샀어용,1039475,괘종시계1
루키lee,구매자,잘받았습니다,1039475,괘종시계1
중고나라#6934769,구매자,빠른배송감사합니다,1039584,컴터고수염
wmrmdoal,구매자,말도 친절하시고 좋을 물건 좋은가격에 주셔서 감사합니다 대박나세요 !!,1039584,컴터고수염
하얀까마귀z,구매자,처음 일주일안에 그래픽이 깨짐. 온도가 80도정도가 기본이길래 문의하니 서멀작업은 안했다 함. 서멀작업다시하고 온도가 76~78도 유지. 그래픽 깨짐 증상 그대로. 재문의하여 교환요청했지만 옵션타협 하라는 말 들음. 현재는 피씨가 중간중간 멈춤. 그냥 적당히 써야하는 가 봄.,1039584,컴터고수염
야우욹,구매자,배송도 빠르고 제품상태도 좋네요,1039584,컴터고수염
료뵤쵸표,구매자,감사합니다. 잘쓸게요! 상품도 중고이지만 새것 같아요.,1039584,컴터고수염
이우아빠,구매자,좋은제품 잘사용하겠습니다.,1039584,컴터고수염
팬티는트라이,구매자,잘입겠습니다,1039972,로즈마니아
중고나라#11078123,구매자,잘 받았습니다. 감사합니다💖,1041004,dysek
diwlsla,구매자,잘쓰겠습니다!,1041492,승한아빠
중고나라#8904818,판매자,아주 착하십니다,1042264,구구해보자
하5,구매자,안전거래 보통 잘 안해주시려고 하는데 응해주셔서 물건 편하게 빨리 구할수있었네요. 감사합니다,1042264,구구해보자
초보식물집사삽목좋아,판매자,거래잘했습니다.,1045865,july60
fjaj,구매자,좋은 물건 꼼꼼하게 왔어요. 잘 쓰겠습니다 폭염에 건강 관리 잘하고 즐거운 하루 보내세요?수고 많으셨습니다. 감사합니다.,1046986,머찐철
기모띠221,판매자,안전거래 잘 안하는데 안전거래로 파시기도 하는분이라 흔쾌히 했습니다 확정 빠르시고 매너 좋으세요,1046986,머찐철
이루다솜,구매자,택배거래 어렵다고 올려서 혹시나 해서 물어봤는데 다행히 택배가 가능하여 하루만에 받았습니다. 꼼꼼하고 빠른 배송 감사합니다. 잘 사용하겠습니다.,1046986,머찐철
중고나라#8945505,구매자,좋은 제품 저렴하게 주셔서 감사합니다:),1048300,diartin
행복쌤,구매자,잘 작동 됩니다,1048300,diartin
대냐ㅗ,구매자,감사히 잘 쓰겠습니다. 건강하세요,1048300,diartin
팅커벨B,구매자,꼼꼼히 포장해서 택배보내주셔서 감사합니다,1048300,diartin
kostar1,구매자,받아서 잘 쓰고 있어요.고맙습니다,1048300,diartin
